DiscardTypeID,DiscardDestinationID,Year,DiscardDestinationRatio
0,4,1921,0.71
0,4,1922,0.71
0,4,1923,0.71
0,4,1924,0.71
0,4,1925,0.71
0,4,1926,0.71
0,4,1927,0.71
0,4,1928,0.71
0,4,1929,0.71
0,4,1930,0.71
0,4,1931,0.71
0,4,1932,0.71
0,4,1933,0.71
0,4,1934,0.71
0,4,1935,0.71
0,4,1936,0.71
0,4,1937,0.71
0,4,1938,0.71
0,4,1939,0.71
0,4,1940,0.67
0,4,1941,0.67
0,4,1942,0.67
0,4,1943,0.67
0,4,1944,0.67
0,4,1945,0.67
0,4,1946,0.67
0,4,1947,0.67
0,4,1948,0.67
0,4,1949,0.67
0,4,1950,0.63
0,4,1951,0.63
0,4,1952,0.63
0,4,1953,0.63
0,4,1954,0.63
0,4,1955,0.63
0,4,1956,0.63
0,4,1957,0.63
0,4,1958,0.63
0,4,1959,0.63
0,4,1960,0.43
0,4,1961,0.43
0,4,1962,0.43
0,4,1963,0.43
0,4,1964,0.43
0,4,1965,0.43
0,4,1966,0.43
0,4,1967,0.43
0,4,1968,0.43
0,4,1969,0.43
0,4,1970,0.43
0,4,1971,0.43
0,4,1972,0.43
0,4,1973,0.43
0,4,1974,0.43
0,4,1975,0.43
0,4,1976,0.43
0,4,1977,0.43
0,4,1978,0.43
0,4,1979,0.43
0,4,1980,0.17
0,4,1981,0.17
0,4,1982,0.17
0,4,1983,0.17
0,4,1984,0.17
0,4,1985,0.17
0,4,1986,0.17
0,4,1987,0.17
0,4,1988,0.17
0,4,1989,0.17
0,4,1990,0.01
0,4,1991,0.01
0,4,1992,0.01
0,4,1993,0.01
0,4,1994,0.01
0,4,1995,0.01
0,4,1996,0.01
0,4,1997,0.01
0,4,1998,0.01
0,4,1999,0.01
0,4,2000,0.01
0,4,2001,0.01
0,4,2002,0.01
0,4,2003,0.01
0,4,2004,0.01
0,4,2005,0.01
0,4,2006,0.01
0,4,2007,0.01
0,4,2008,0.01
0,4,2009,0.01
1,2,2010,0.08
1,3,2010,0.67
1,4,2010,0.02
0,0,2010,0.14
0,1,2010,0.5
0,2,2010,0.05
0,3,2010,0.3
0,4,2010,0.01
1,0,2010,0.14
1,1,2010,0.09
1,2,2011,0.08
1,3,2011,0.67
1,4,2011,0.02
0,0,2011,0.14
0,1,2011,0.5
0,2,2011,0.05
0,3,2011,0.3
0,4,2011,0.01
1,0,2011,0.14
1,1,2011,0.09
1,2,2012,0.08
1,3,2012,0.67
1,4,2012,0.02
0,0,2012,0.14
0,1,2012,0.5
0,2,2012,0.05
0,3,2012,0.3
0,4,2012,0.01
1,0,2012,0.14
1,1,2012,0.09
1,2,2013,0.08
1,3,2013,0.67
1,4,2013,0.02
0,0,2013,0.14
0,1,2013,0.5
0,2,2013,0.05
0,3,2013,0.3
0,4,2013,0.01
1,0,2013,0.14
1,1,2013,0.09
1,2,2014,0.08
1,3,2014,0.67
1,4,2014,0.02
0,0,2014,0.14
0,1,2014,0.5
0,2,2014,0.05
0,3,2014,0.3
0,4,2014,0.01
1,0,2014,0.14
1,1,2014,0.09
1,2,2015,0.08
1,3,2015,0.67
1,4,2015,0.02
0,0,2015,0.14
0,1,2015,0.5
0,2,2015,0.05
0,3,2015,0.3
0,4,2015,0.01
1,0,2015,0.14
1,1,2015,0.09
1,2,2016,0.08
1,3,2016,0.67
1,4,2016,0.02
0,0,2016,0.14
0,1,2016,0.5
0,2,2016,0.05
0,3,2016,0.3
0,4,2016,0.01
1,0,2016,0.14
1,1,2016,0.09
1,2,2017,0.08
1,3,2017,0.67
1,4,2017,0.02
0,0,2017,0.14
0,1,2017,0.5
0,2,2017,0.05
0,3,2017,0.3
0,4,2017,0.01
1,0,2017,0.14
1,1,2017,0.09
1,2,2018,0.08
1,3,2018,0.67
1,4,2018,0.02
0,0,2018,0.14
0,1,2018,0.5
0,2,2018,0.05
0,3,2018,0.3
0,4,2018,0.01
1,0,2018,0.14
1,1,2018,0.09
1,2,2019,0.08
1,3,2019,0.67
1,4,2019,0.02
0,0,2019,0.14
0,1,2019,0.5
0,2,2019,0.05
0,3,2019,0.3
0,4,2019,0.01
1,0,2019,0.14
1,1,2019,0.09
1,2,2020,0.08
1,3,2020,0.67
1,4,2020,0.02
0,0,2020,0.14
0,1,2020,0.5
0,2,2020,0.05
0,3,2020,0.3
0,4,2020,0.01
1,0,2020,0.14
1,1,2020,0.09
1,2,2021,0.08
1,3,2021,0.67
1,4,2021,0.02
0,0,2021,0.14
0,1,2021,0.5
0,2,2021,0.05
0,3,2021,0.3
0,4,2021,0.01
1,0,2021,0.14
1,1,2021,0.09
1,2,2022,0.08
1,3,2022,0.67
1,4,2022,0.02
0,0,2022,0.14
0,1,2022,0.5
0,2,2022,0.05
0,3,2022,0.3
0,4,2022,0.01
1,0,2022,0.14
1,1,2022,0.09
1,2,2023,0.08
1,3,2023,0.67
1,4,2023,0.02
0,0,2023,0.14
0,1,2023,0.5
0,2,2023,0.05
0,3,2023,0.3
0,4,2023,0.01
1,0,2023,0.14
1,1,2023,0.09
1,2,2024,0.08
1,3,2024,0.67
1,4,2024,0.02
0,0,2024,0.14
0,1,2024,0.5
0,2,2024,0.05
0,3,2024,0.3
0,4,2024,0.01
1,0,2024,0.14
1,1,2024,0.09
1,2,2025,0.08
1,3,2025,0.67
1,4,2025,0.02
0,0,2025,0.14
0,1,2025,0.5
0,2,2025,0.05
0,3,2025,0.3
0,4,2025,0.01
1,0,2025,0.14
1,1,2025,0.09
1,2,2026,0.08
1,3,2026,0.67
1,4,2026,0.02
0,0,2026,0.14
0,1,2026,0.5
0,2,2026,0.05
0,3,2026,0.3
0,4,2026,0.01
1,0,2026,0.14
1,1,2026,0.09
1,2,2027,0.08
1,3,2027,0.67
1,4,2027,0.02
0,0,2027,0.14
0,1,2027,0.5
0,2,2027,0.05
0,3,2027,0.3
0,4,2027,0.01
1,0,2027,0.14
1,1,2027,0.09
1,2,2028,0.08
1,3,2028,0.67
1,4,2028,0.02
0,0,2028,0.14
0,1,2028,0.5
0,2,2028,0.05
0,3,2028,0.3
0,4,2028,0.01
1,0,2028,0.14
1,1,2028,0.09
1,2,2029,0.08
1,3,2029,0.67
1,4,2029,0.02
0,0,2029,0.14
0,1,2029,0.5
0,2,2029,0.05
0,3,2029,0.3
0,4,2029,0.01
1,0,2029,0.14
1,1,2029,0.09
1,2,2030,0.08
1,3,2030,0.67
1,4,2030,0.02
0,0,2030,0.14
0,1,2030,0.5
0,2,2030,0.05
0,3,2030,0.3
0,4,2030,0.01
1,0,2030,0.14
1,1,2030,0.09
1,0,1906,0.29
1,0,1907,0.29
1,0,1908,0.29
1,0,1909,0.29
1,0,1910,0.29
1,0,1911,0.29
1,0,1912,0.29
1,0,1913,0.29
1,0,1914,0.29
1,0,1915,0.29
1,0,1916,0.29
1,0,1917,0.29
1,0,1918,0.29
1,0,1919,0.29
1,0,1920,0.29
1,0,1921,0.29
1,0,1922,0.29
1,0,1923,0.29
1,0,1924,0.29
1,0,1925,0.29
1,0,1926,0.29
1,0,1927,0.29
1,0,1928,0.29
1,0,1929,0.29
1,0,1930,0.29
1,0,1931,0.29
1,0,1932,0.29
1,0,1933,0.29
1,0,1934,0.29
1,0,1935,0.29
1,0,1936,0.29
1,0,1937,0.29
1,0,1938,0.29
1,0,1939,0.29
1,0,1940,0.3
1,0,1941,0.3
1,0,1942,0.3
1,0,1943,0.3
1,0,1944,0.3
1,0,1945,0.3
1,0,1946,0.3
1,0,1947,0.3
1,0,1948,0.3
1,0,1949,0.3
1,0,1950,0.3
1,0,1951,0.3
1,0,1952,0.3
1,0,1953,0.3
1,0,1954,0.3
1,0,1955,0.3
1,0,1956,0.3
1,0,1957,0.3
1,0,1958,0.3
1,0,1959,0.3
1,0,1960,0.31
1,0,1961,0.31
1,0,1962,0.31
1,0,1963,0.31
1,0,1964,0.31
1,0,1965,0.31
1,0,1966,0.31
1,0,1967,0.31
1,0,1968,0.31
1,0,1969,0.31
1,0,1970,0.21
1,0,1971,0.21
1,0,1972,0.21
1,0,1973,0.21
1,0,1974,0.21
1,0,1975,0.21
1,0,1976,0.21
1,0,1977,0.21
1,0,1978,0.21
1,0,1979,0.21
1,0,1980,0.09
1,0,1981,0.09
1,0,1982,0.09
1,0,1983,0.09
1,0,1984,0.09
1,0,1985,0.09
1,0,1986,0.09
1,0,1987,0.09
1,0,1988,0.09
1,0,1989,0.09
1,0,1990,0.16
1,0,1991,0.16
1,0,1992,0.16
1,0,1993,0.16
1,0,1994,0.16
1,0,1995,0.16
1,0,1996,0.16
1,0,1997,0.16
1,0,1998,0.16
1,0,1999,0.16
1,0,2000,0.15
1,0,2001,0.15
1,0,2002,0.14
1,0,2003,0.14
1,0,2004,0.14
1,0,2005,0.14
1,0,2006,0.14
1,0,2007,0.14
1,0,2008,0.14
1,0,2009,0.14
1,1,1906,0
1,1,1907,0
1,1,1908,0
1,1,1909,0
1,1,1910,0
1,1,1911,0
1,1,1912,0
1,1,1913,0
1,1,1914,0
