DiscardTypeID,DiscardDestinationID,Year,Ratio
0,3,1962,0.090000
0,3,1963,0.090000
0,3,1964,0.090000
0,3,1965,0.090000
0,3,1966,0.090000
0,3,1967,0.090000
0,3,1968,0.090000
0,3,1969,0.090000
0,3,1970,0.210000
0,3,1971,0.210000
0,3,1972,0.210000
0,3,1973,0.210000
0,3,1974,0.210000
0,3,1975,0.210000
0,3,1976,0.210000
0,3,1977,0.210000
0,3,1978,0.210000
0,3,1979,0.210000
0,3,1980,0.530000
0,3,1981,0.530000
0,3,1982,0.530000
0,3,1983,0.530000
0,3,1984,0.530000
0,3,1985,0.530000
0,3,1986,0.530000
0,3,1987,0.530000
0,3,1988,0.530000
0,3,1989,0.530000
0,3,1990,0.530000
0,3,1991,0.530000
0,3,1992,0.530000
0,3,1993,0.530000
0,3,1994,0.530000
0,3,1995,0.530000
0,3,1996,0.530000
0,3,1997,0.530000
0,3,1998,0.530000
0,3,1999,0.530000
0,3,2000,0.370000
0,3,2001,0.330000
0,3,2002,0.340000
0,3,2003,0.320000
0,3,2004,0.310000
0,3,2005,0.300000
0,3,2006,0.300000
0,3,2007,0.300000
0,3,2008,0.300000
0,3,2009,0.300000
0,4,1906,0.710000
0,4,1907,0.710000
0,4,1908,0.710000
0,4,1909,0.710000
0,4,1910,0.710000
0,4,1911,0.710000
0,4,1912,0.710000
0,4,1913,0.710000
0,4,1914,0.710000
0,4,1915,0.710000
0,4,1916,0.710000
0,4,1917,0.710000
0,4,1918,0.710000
0,4,1919,0.710000
0,4,1920,0.710000
0,4,1921,0.710000
0,4,1922,0.710000
0,4,1923,0.710000
0,4,1924,0.710000
0,4,1925,0.710000
0,4,1926,0.710000
0,4,1927,0.710000
0,4,1928,0.710000
0,4,1929,0.710000
0,4,1930,0.710000
0,4,1931,0.710000
0,4,1932,0.710000
0,4,1933,0.710000
0,4,1934,0.710000
0,4,1935,0.710000
0,4,1936,0.710000
0,4,1937,0.710000
0,4,1938,0.710000
0,4,1939,0.710000
0,4,1940,0.670000
0,4,1941,0.670000
0,4,1942,0.670000
0,4,1943,0.670000
0,4,1944,0.670000
0,4,1945,0.670000
0,4,1946,0.670000
0,4,1947,0.670000
0,4,1948,0.670000
0,4,1949,0.670000
0,4,1950,0.630000
0,4,1951,0.630000
0,4,1952,0.630000
0,4,1953,0.630000
0,4,1954,0.630000
0,4,1955,0.630000
0,4,1956,0.630000
0,4,1957,0.630000
0,4,1958,0.630000
0,4,1959,0.630000
0,4,1960,0.430000
0,4,1961,0.430000
0,4,1962,0.430000
0,4,1963,0.430000
0,4,1964,0.430000
0,4,1965,0.430000
0,4,1966,0.430000
0,4,1967,0.430000
0,4,1968,0.430000
0,4,1969,0.430000
0,4,1970,0.430000
0,4,1971,0.430000
0,4,1972,0.430000
0,4,1973,0.430000
0,4,1974,0.430000
0,4,1975,0.430000
0,4,1976,0.430000
0,4,1977,0.430000
0,4,1978,0.430000
0,4,1979,0.430000
0,4,1980,0.170000
0,4,1981,0.170000
0,4,1982,0.170000
0,4,1983,0.170000
0,4,1984,0.170000
0,4,1985,0.170000
0,4,1986,0.170000
0,4,1987,0.170000
0,4,1988,0.170000
0,4,1989,0.170000
0,4,1990,0.010000
0,4,1991,0.010000
0,4,1992,0.010000
0,4,1993,0.010000
0,4,1994,0.010000
0,4,1995,0.010000
0,4,1996,0.010000
0,4,1997,0.010000
0,4,1998,0.010000
0,4,1999,0.010000
0,4,2000,0.010000
0,4,2001,0.010000
0,4,2002,0.010000
0,4,2003,0.010000
0,4,2004,0.010000
0,4,2005,0.010000
0,4,2006,0.010000
0,4,2007,0.010000
0,4,2008,0.010000
0,4,2009,0.010000
1,2,2010,0.080000
1,3,2010,0.670000
1,4,2010,0.020000
0,0,2010,0.140000
0,1,2010,0.500000
0,2,2010,0.050000
0,3,2010,0.300000
0,4,2010,0.010000
1,0,2010,0.140000
1,1,2010,0.090000
1,2,2011,0.080000
1,3,2011,0.670000
1,4,2011,0.020000
0,0,2011,0.140000
0,1,2011,0.500000
0,2,2011,0.050000
0,3,2011,0.300000
0,4,2011,0.010000
1,0,2011,0.140000
1,1,2011,0.090000
1,2,2012,0.080000
1,3,2012,0.670000
1,4,2012,0.020000
0,0,2012,0.140000
0,1,2012,0.500000
0,2,2012,0.050000
0,3,2012,0.300000
0,4,2012,0.010000
1,0,2012,0.140000
1,1,2012,0.090000
1,2,2013,0.080000
1,3,2013,0.670000
1,4,2013,0.020000
0,0,2013,0.140000
0,1,2013,0.500000
0,2,2013,0.050000
0,3,2013,0.300000
0,4,2013,0.010000
1,0,2013,0.140000
1,1,2013,0.090000
1,2,2014,0.080000
1,3,2014,0.670000
1,4,2014,0.020000
0,0,2014,0.140000
0,1,2014,0.500000
0,2,2014,0.050000
0,3,2014,0.300000
0,4,2014,0.010000
1,0,2014,0.140000
1,1,2014,0.090000
1,2,2015,0.080000
1,3,2015,0.670000
1,4,2015,0.020000
0,0,2015,0.140000
0,1,2015,0.500000
0,2,2015,0.050000
0,3,2015,0.300000
0,4,2015,0.010000
1,0,2015,0.140000
1,1,2015,0.090000
1,2,2016,0.080000
1,3,2016,0.670000
1,4,2016,0.020000
0,0,2016,0.140000
0,1,2016,0.500000
0,2,2016,0.050000
0,3,2016,0.300000
0,4,2016,0.010000
1,0,2016,0.140000
1,1,2016,0.090000
1,2,2017,0.080000
1,3,2017,0.670000
1,4,2017,0.020000
0,0,2017,0.140000
0,1,2017,0.500000
0,2,2017,0.050000
0,3,2017,0.300000
0,4,2017,0.010000
1,0,2017,0.140000
1,1,2017,0.090000
1,2,2018,0.080000
1,3,2018,0.670000
1,4,2018,0.020000
0,0,2018,0.140000
0,1,2018,0.500000
0,2,2018,0.050000
0,3,2018,0.300000
0,4,2018,0.010000
1,0,2018,0.140000
1,1,2018,0.090000
1,2,2019,0.080000
1,3,2019,0.670000
1,4,2019,0.020000
0,0,2019,0.140000
0,1,2019,0.500000
0,2,2019,0.050000
0,3,2019,0.300000
0,4,2019,0.010000
1,0,2019,0.140000
1,1,2019,0.090000
1,2,2020,0.080000
1,3,2020,0.670000
1,4,2020,0.020000
0,0,2020,0.140000
0,1,2020,0.500000
0,2,2020,0.050000
0,3,2020,0.300000
0,4,2020,0.010000
1,0,2020,0.140000
1,1,2020,0.090000
1,2,2021,0.080000
1,3,2021,0.670000
1,4,2021,0.020000
