ID,PrimaryProductID,Description,HalfLife,RatioGroup,DiscardTypeID,Fuel
1,1,fuelwood and other,0,0,1,1
2,2,"manufacturing, other manufacturing",12,1,1,0
3,2,"rail and railcar, n/a",12,1,1,0
4,2,"packaging and shipping, n/a",6,1,1,0
5,2,"manufacturing, furniture",30,1,1,0
6,2,"other, n/a",12,1,1,0
7,2,"new nonresidential, other",67,1,1,0
8,2,"new nonresidential, new nonres buildings",67,1,1,0
9,2,"residential r and r, n/a",30,1,1,0
10,2,"new housing, manufactured housing",12,1,1,0
11,2,"new housing, single family",100,1,1,0
12,2,"new housing, multifamily",70,1,1,0
13,3,"manufacturing, other manufacturing",12,2,1,0
14,3,"new housing, multifamily",70,2,1,0
15,3,"new housing, single family",100,2,1,0
16,3,"residential r and r, n/a",30,2,1,0
