EndUseID,PrimaryProductID,TimberProductID,TimberProduct,PrimaryProduct,EndUseProduct
47,7,1,"hardwood, sawtimber",wood pulp,wood pulp
48,8,2,"softwood, sawtimber",fuelwood and other,fuelwood and other
49,9,2,"softwood, sawtimber",lumber,"residential r and r, n/a"
50,9,2,"softwood, sawtimber",lumber,"packaging and shipping, n/a"
51,9,2,"softwood, sawtimber",lumber,"manufacturing, other manufacturing"
52,9,2,"softwood, sawtimber",lumber,"manufacturing, furniture"
53,9,2,"softwood, sawtimber",lumber,"rail and railcar, n/a"
54,9,2,"softwood, sawtimber",lumber,"new nonresidential, new nonres buildings"
55,9,2,"softwood, sawtimber",lumber,"other, n/a"
56,9,2,"softwood, sawtimber",lumber,"new housing, multifamily"
57,9,2,"softwood, sawtimber",lumber,"new housing, manufactured housing"
58,9,2,"softwood, sawtimber",lumber,"new housing, single family"
59,9,2,"softwood, sawtimber",lumber,"new nonresidential, other"
60,10,2,"softwood, sawtimber",non-structural panels,"manufacturing, other manufacturing"
61,10,2,"softwood, sawtimber",non-structural panels,"other, n/a"
62,10,2,"softwood, sawtimber",non-structural panels,"new housing, single family"
63,10,2,"softwood, sawtimber",non-structural panels,"rail and railcar, n/a"
64,10,2,"softwood, sawtimber",non-structural panels,"packaging and shipping, n/a"
65,10,2,"softwood, sawtimber",non-structural panels,"new housing, manufactured housing"
66,10,2,"softwood, sawtimber",non-structural panels,"residential r and r, n/a"
67,10,2,"softwood, sawtimber",non-structural panels,"new nonresidential, other"
68,10,2,"softwood, sawtimber",non-structural panels,"manufacturing, furniture"
69,10,2,"softwood, sawtimber",non-structural panels,"new housing, multifamily"
70,10,2,"softwood, sawtimber",non-structural panels,"new nonresidential, new nonres buildings"
71,11,2,"softwood, sawtimber",oriented strandboard (OSB),"rail and railcar, n/a"
72,11,2,"softwood, sawtimber",oriented strandboard (OSB),"new nonresidential, other"
73,11,2,"softwood, sawtimber",oriented strandboard (OSB),"new housing, manufactured housing"
74,11,2,"softwood, sawtimber",oriented strandboard (OSB),"residential r and r, n/a"
75,11,2,"softwood, sawtimber",oriented strandboard (OSB),"new nonresidential, new nonres buildings"
76,11,2,"softwood, sawtimber",oriented strandboard (OSB),"other, n/a"
77,11,2,"softwood, sawtimber",oriented strandboard (OSB),"packaging and shipping, n/a"
78,11,2,"softwood, sawtimber",oriented strandboard (OSB),"new housing, multifamily"
79,11,2,"softwood, sawtimber",oriented strandboard (OSB),"new housing, single family"
80,11,2,"softwood, sawtimber",oriented strandboard (OSB),"manufacturing, other manufacturing"
81,11,2,"softwood, sawtimber",oriented strandboard (OSB),"manufacturing, furniture"
82,12,2,"softwood, sawtimber",other industrial products,other industrial products
83,13,2,"softwood, sawtimber",plywood,"residential r and r, n/a"
84,13,2,"softwood, sawtimber",plywood,"manufacturing, furniture"
85,13,2,"softwood, sawtimber",plywood,"new housing, single family"
86,13,2,"softwood, sawtimber",plywood,"new housing, multifamily"
