,TimberProductID,EndUseID,PrimaryProductID,DiscardTypeID,DiscardDestinationID,Year,discard_remaining
251018,3.0,132.0,20.0,1,3,2018,0.0
251019,3.0,132.0,20.0,1,4,2018,0.0
251020,3.0,133.0,20.0,0,0,2018,0.0
251021,3.0,133.0,20.0,0,1,2018,0.0
251022,3.0,133.0,20.0,0,2,2018,0.0
251023,3.0,133.0,20.0,0,3,2018,0.0
251024,3.0,133.0,20.0,0,4,2018,0.0
251025,3.0,133.0,20.0,1,0,2018,0.0
251026,3.0,133.0,20.0,1,1,2018,0.0
251027,3.0,133.0,20.0,1,2,2018,0.0
251028,3.0,133.0,20.0,1,3,2018,0.0
251029,3.0,133.0,20.0,1,4,2018,0.0
251030,3.0,134.0,20.0,0,0,2018,0.0
251031,3.0,134.0,20.0,0,1,2018,0.0
251032,3.0,134.0,20.0,0,2,2018,0.0
251033,3.0,134.0,20.0,0,3,2018,0.0
251034,3.0,134.0,20.0,0,4,2018,0.0
251035,3.0,134.0,20.0,1,0,2018,0.0
251036,3.0,134.0,20.0,1,1,2018,0.0
251037,3.0,134.0,20.0,1,2,2018,0.0
251038,3.0,134.0,20.0,1,3,2018,0.0
251039,3.0,134.0,20.0,1,4,2018,0.0
251040,3.0,135.0,20.0,0,0,2018,0.0
251041,3.0,135.0,20.0,0,1,2018,0.0
251042,3.0,135.0,20.0,0,2,2018,0.0
251043,3.0,135.0,20.0,0,3,2018,0.0
251044,3.0,135.0,20.0,0,4,2018,0.0
251045,3.0,135.0,20.0,1,0,2018,0.0
251046,3.0,135.0,20.0,1,1,2018,0.0
251047,3.0,135.0,20.0,1,2,2018,0.0
251048,3.0,135.0,20.0,1,3,2018,0.0
251049,3.0,135.0,20.0,1,4,2018,0.0
251050,3.0,136.0,20.0,0,0,2018,0.0
251051,3.0,136.0,20.0,0,1,2018,0.0
251052,3.0,136.0,20.0,0,2,2018,0.0
251053,3.0,136.0,20.0,0,3,2018,0.0
251054,3.0,136.0,20.0,0,4,2018,0.0
251055,3.0,136.0,20.0,1,0,2018,0.0
251056,3.0,136.0,20.0,1,1,2018,0.0
251057,3.0,136.0,20.0,1,2,2018,0.0
251058,3.0,136.0,20.0,1,3,2018,0.0
251059,3.0,136.0,20.0,1,4,2018,0.0
251060,3.0,138.0,20.0,0,0,2018,0.0
251061,3.0,138.0,20.0,0,1,2018,0.0
251062,3.0,138.0,20.0,0,2,2018,0.0
251063,3.0,138.0,20.0,0,3,2018,0.0
251064,3.0,138.0,20.0,0,4,2018,0.0
251065,3.0,138.0,20.0,1,0,2018,0.0
251066,3.0,138.0,20.0,1,1,2018,0.0
